Job Title,Company Name,Post Date,Location,Job Requirements,Job Page Links,Job Responsibilities
Python Developer,Icity,4 days ago,"Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Computer Science · Software Development · Python · Programming · Design · Information Technology (IT) · ORM · Database · Computer Engineering · IT/Software Development,https://wuzzuf.net/jobs/p/7PXnN8CKwolP-Python-Developer-Icity-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb,"-We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end.
-Writing reusable, testable, and efficient code.
-Design and implementation of low-latency, high-availability, and perform-ant applications.
-Integration of user-facing elements developed by front-end developers with server side logic.
-Implementation of security and data protection.
-Integration of data storage solutions.
"
Senior Software Engineer - Python,Paymob Solutions,11 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript · Web Services · ReactJS,https://wuzzuf.net/jobs/p/FPIbXuZQ8aSj-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb,"-Help design and implement functional requirements.
-Build efficient back-end features in Python.
-Integrate front-end components into applications.
-Manage testing and bug fixes.
-Prepare technical documentation.
-Collaborate with UX/UI designers to implement design into the code.
-Collaborate with other team members.
-Coach junior team members.
-Implement software enhancements and suggest improvements.
"
Python Developer / REST API / Microservices - Ocucon Team (UK) - (Alexandria),Procrew,6 days ago,"San Stefano, Alexandria, Egypt ",Full timeExperienced · 3+ Yrs of Exp · MySQL · javaScript · Software Development · Programming · Git · Information Technology (IT) · Front-End · Full-Stack · Back-End · Computer Science,https://wuzzuf.net/jobs/p/C2f0dOEXwd64-Python-Developer-REST-API-Microservices---Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb,"-Design a scalable and testable microservice pattern including authentication
-Consistently write clean, and tested code.
-Ensure that code is written in such a way that it exploits the frameworks that are in use within our applications and is consistent with our practices and patterns.
-Monitor and benchmark applications in production to find opportunities for improvement in usability and functionality.
-Actively participate in peer-reviews of pull requests, to ensure that quality code is released.
"
Senior Software Engineer (JavaEE /Python),FlairsTech,2 days ago,"Cairo, Egypt ",Full timeExperienced · 5 - 8 Yrs of Exp · Java · Python · AWS · DevOps · API · Computer Science · Docker · Information Technology (IT) · Linux · Software,https://wuzzuf.net/jobs/p/y8et7guP3E15-Senior-Software-Engineer-JavaEE-Python-FlairsTech-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb,"-Understand complex problems and design solutions to meet customer needs
-Translate network concepts and detailed customer requirements into a software design implementation
-Provide timeline estimations and contribute to project planning  
-Engage with teams across Ciena to contribute to knowledge sharing and code-reuse
-Continuous learning and development of software skills, network knowledge, and the latest industry trends.
"
Senior Python Developer - Security Engineering,Master Linux,4 days ago,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Python · Cybersecurity · Software · Development · MySQL · DevOps · Docker · Information Technology (IT) · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/do8X9BSACiQ3-Senior-Python-Developer---Security-Engineering-Master-Linux-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb,"-Develop Security Automation Frameworks, Tools and Security Management products.
-Abstract complex security APIs or ecosystems for systems integration
-Own and maintain the life cycle of the developed solutions (production hardware and software strategy, end of support, etc.) from an engineering perspective.
-Follow secure software development best practices and standards.
-Provide visionary insight into global security automation capabilities, trends and values.
"
Software Engineer (Python),Darsel,15 days ago,"Cairo, Egypt ",Full timePart timeWork from homeEntry Level · 0 - 3 Yrs of Exp · Python · Software Development · Startup · Software Engineering · Computer Science · English · Information Technology (IT) · Programming · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/pqDMJFwSJTfQ-Software-Engineer-Python-Darsel-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb,"-Write Python functions which dynamically generate math content
-Implement and develop testing and debugging functions
-Collaborate with other software engineers and math content specialist
-Work with other teams to improve user learning experience
"
Senior Python Developer,Confidential -,20 days ago,"Maadi, Cairo, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Computer Science · Django · Engineering · Flask · HTML5 · Information Technology (IT) · JavaScript · Python · ORM · Software Development,https://wuzzuf.net/jobs/p/xGYIYbJlYhsC-Senior-Python-Developer-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb,"-Write effective, scalable code
-Develop back-end components to improve responsiveness and overall performance
-Integrate user-facing elements into applications
-Test and debug programs
-Improve functionality of existing systems
-Implement security and data protection solutions
-Assess and prioritize feature requests
-Coordinate with internal teams to understand user requirements and provide technical solutions
"
Senior Python Developer - Remote,"Nile Bits, LLC",22 days ago,"6th of October, Giza, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Python · Django · javaScript · Software Development · Git · HTML5 · Unit Testing · Computer Science · Information Technology (IT) · Programming,https://wuzzuf.net/jobs/p/7vjwjvz3fbwV-Senior-Python-Developer---Remote-Nile-Bits-LLC-Giza-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb,"-Writing reusable, testable, and efficient code.
-Design and implementation of low-latency, high-availability, and performant applications.
-Integration of user-facing elements developed by front-end developers with server side logic.
-Implementation of security and data protection.
-Integration of data storage solutions.
"
Senior Python Developer,Evolvice GmbH,23 days ago,"Cairo, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Django · backend · Cloud · Computer Science · Python · Software Development · ERP · Information Technology (IT) · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/kUEa52j1WZhA-Senior-Python-Developer-Evolvice-GmbH-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb,-Nothing
Senior BackEnd Engineer (Python/Django),STC Solutions - Egypt,26 days ago,"New Cairo, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Software Development · Java · Software · CI/CD · NoSQL · Backend · Information Technology (IT) · Computer Science · Software Engineering · MySQL,https://wuzzuf.net/jobs/p/eOrii19uCf2B-Senior-BackEnd-Engineer-PythonDjango-STC-Solutions---Egypt-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb,"-Participate in the conception and feature planning of new software as well as the extension of existing software. 
-Design and implement new user-facing features for existing web applications.
- Create fast, easy to use, and robust client-side code for web applications.
-Optimize web applications to maximize reliability and speed. 
-Work closely with UX designers to implement versatile web applications.
-Design, develop, test, and maintain modern web applications.
-Analyze and clarify business requirements to implement data model and business logic. 
-Work as part of an agile team to actively communicate status and complete deliverable on schedule.
-Write unit and integration tests to ensure quality and maintainability of applications.
- Ensure non-functional requirements including security, resiliency, and maintainability are met according to defined standards.
-Resolve bugs, performance problems, and other issues with production applications.
"
