German,English
anfangen,begin
Habe,Have
hinten,rear
fällt,falls
wen,whom
Sekunden,seconds
Manchmal,Once in a while
gerettet,rescued
Naja,Oh well
Gibt,Are
jemals,ever
Meinung,opinion
geschehen,happen
Antwort,answer
schlimm,terrible
Eigentlich,In fact
findet,finds
Scheiß,shit
gewinnen,to win
Tu,Tu
Gedanken,throughts
erinnere,remember
mögen,like
Herren,Men's
klingt,sounds
vorher,before
Auge,eye
hab',have'
setzen,put
cool,cool
Anfang,beginning
Immer,always
danach,thereafter
Monate,months
Lebens,life
Beste,best
benutzen,use
Nehmen,To take
fühlen,feel
Ärger,trouble
arbeite,working
Rolle,role
gefährlich,dangerous
Dort,there
gelernt,learned
fallen,fall
böse,evil
werd,expectant
Nähe,vicinity
geschickt,sent
liebt,loves
Tisch,table
Mehr,More
Ziel,goal
Raum,space
jedem,each
fliegen,to fly
Wohnung,apartment
Dafür,Therefore
erfahren,Experienced
dumm,stupid
eher,rather
vorsichtig,careful
herum,hereabouts
Klappe,flap
schicken,send
Laden,load
aufs,onto
Wird,Will
Warten,Wait
großer,greater
arbeitet,is working
Euer,Your
Worte,words
richtige,right one
Flugzeug,plane
Firma,company
bezahlen,pay
Einer,one
Glaubst,Do
falls,if
schreiben,write
tat,did
Darum,Therefore
starb,died
Schluss,Enough
Fenster,window
liegen,lie
wär's,bout
Verzeihung,forgiveness
niemanden,anyone
neues,new
Weiß,White
benutzt,used
nen,nen
jedes,each
schätze,wealth
Finger,finger
wert,worth
rüber,over
halte,think
Falls,If
besonders,especially
Daddy,Daddy
Witz,joke
nachdem,after this
nimmt,takes
